Serie,Date,Day,Month,Year,Site,Management,Transect,Quadrats,Place_in_transect ,Depth,Group,Species,Presence,Abundance,Holdfast,Stipes,TL,Frondosity,Obs,Sampler,Anotate,Entered by
1,08-02-2018,8,2,2018,Ventanas,TURF,1,1,,9.2,Animal,Tegula atra,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2,08-02-2018,8,2,2018,Ventanas,TURF,1,1,,9.2,Animal,Concholepas concholepas,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3,08-02-2018,8,2,2018,Ventanas,TURF,1,1,,9.2,Animal,Scurria sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
4,08-02-2018,8,2,2018,Ventanas,TURF,1,2,,9.2,Animal,Tonicia sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
5,08-02-2018,8,2,2018,Ventanas,TURF,1,3,,9.5,Animal,NaN,0,0,NaN,NaN,NaN,NaN,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
6,08-02-2018,8,2,2018,Ventanas,TURF,1,4,,8.5,Animal,Concholepas concholepas,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
7,08-02-2018,8,2,2018,Ventanas,TURF,1,5,,8.7,Animal,Oulactis concinnata,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
8,08-02-2018,8,2,2018,Ventanas,TURF,1,5,,8.7,Animal,Romaleon polyodon,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
9,08-02-2018,8,2,2018,Ventanas,TURF,1,6,,8.7,Animal,Oulactis concinnata,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
10,08-02-2018,8,2,2018,Ventanas,TURF,1,6,,8.7,Animal,Concholepas concholepas,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
11,08-02-2018,8,2,2018,Ventanas,TURF,1,6,,8.7,Animal,Acanthina monodon,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
12,08-02-2018,8,2,2018,Ventanas,TURF,1,6,,8.7,Animal,Posturas Concholepas concholepas,1,NaN,NaN,NaN,NaN,NaN,Posturas Concholepas concholepas,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
13,08-02-2018,8,2,2018,Ventanas,TURF,1,7,,8.3,Animal,NaN,0,0,NaN,NaN,NaN,NaN,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
14,08-02-2018,8,2,2018,Ventanas,TURF,1,8,,9.2,Animal,Homalaspis plana,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
15,08-02-2018,8,2,2018,Ventanas,TURF,1,9,,7.4,Animal,Homalaspis plana,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
16,08-02-2018,8,2,2018,Ventanas,TURF,1,10,,8.3,Animal,NaN,0,0,NaN,NaN,NaN,NaN,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
17,08-02-2018,8,2,2018,Ventanas,TURF,5,1,,13.1,Animal,Odontaster penicillatus,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
18,08-02-2018,8,2,2018,Ventanas,TURF,5,1,,13.1,Animal,Tegula quadricostata,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
19,08-02-2018,8,2,2018,Ventanas,TURF,5,1,,13.1,Animal,Taliepus marginatus,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
20,08-02-2018,8,2,2018,Ventanas,TURF,5,1,,13.1,Animal,Tetrapygus niger,1,4,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
21,08-02-2018,8,2,2018,Ventanas,TURF,5,2,,12.6,Animal,Tonicia sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
22,08-02-2018,8,2,2018,Ventanas,TURF,5,2,,12.6,Animal,Tegula tridentata,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
23,08-02-2018,8,2,2018,Ventanas,TURF,5,2,,12.6,Animal,Tetrapygus niger,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
