Serie,Date,Day,Month,Year,Site,Management,Transect,Latitud_1,Longitud_1,Latitud_2,Longitud_2,Station,Depth,Surface,Species,Stage,Abundance,Substrate,Community,Frondosity ,Observaciones,Muestreado por,Anotado por,Ingresado por
1,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,1,15,20, Lessonia trabeculata ,Adulto,18,01-02-05,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
2,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,1,15,20, Lessonia trabeculata ,Juvenil,2,01-02-05,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
3,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,1,15,20, Lessonia trabeculata solo disco,NaN,0,01-02-05,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
4,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,1,15,20, Lessonia berteroana ,Adulto,0,01-02-05,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
5,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,1,15,20, Lessonia berteroana ,Juvenil,0,01-02-05,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
6,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,1,15,20, Macrocystis pyrifera ,Adulto,0,01-02-05,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
7,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,1,15,20, Macrocystis pyrifera ,Juvenil,0,01-02-05,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
8,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,2,NaN,20, Lessonia trabeculata ,Adulto,12,01-02-05,Ene-20,B,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
9,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,2,NaN,20, Lessonia trabeculata ,Juvenil,2,01-02-05,Ene-20,B,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
10,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,2,NaN,20, Lessonia trabeculata solo disco,NaN,0,01-02-05,Ene-20,B,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
11,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,2,NaN,20, Lessonia berteroana ,Adulto,0,01-02-05,Ene-20,B,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
12,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,2,NaN,20, Lessonia berteroana ,Juvenil,0,01-02-05,Ene-20,B,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
13,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,2,NaN,20, Macrocystis pyrifera ,Adulto,0,01-02-05,Ene-20,B,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
14,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,2,NaN,20, Macrocystis pyrifera ,Juvenil,0,01-02-05,Ene-20,B,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
15,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,3,NaN,20, Lessonia trabeculata ,Adulto,25,01-Mar,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
