"","Date","Survey.Number","MAE","Zone","Site","Management","Upwelling","Latitude","Longitude","Surveyor.Name","Patch","Species","Replicate","Holdfast.Diameter","Stipes","Total.Length"
"1",2020-10-03,"1",12,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Rodrigo Mu<U+00F1>oz","1","Lessonia trabeculata",1,0.2,1,0.8
"2",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Catalina Ruz","2","Lessonia trabeculata",1,0.2,1,0.4
"3",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Catalina Ruz","2","Lessonia trabeculata",2,0.2,1,0.4
"4",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",1,0.2,1,1
"5",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",2,0.2,1,3
"6",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",3,0.2,1,2
"7",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",4,0.2,1,0.2
"8",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",5,0.2,1,0.4
"9",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",6,0.2,1,0.4
"10",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",7,0.2,1,0.4
"11",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",8,0.2,1,0.4
"12",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",9,0.2,1,0.4
"13",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",10,0.2,1,0.4
"14",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",11,0.2,1,0.4
"15",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3","Lessonia trabeculata",12,0.2,1,0.4
"16",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Camila Gonzalez","3","Lessonia trabeculata",13,0.3,1,0.6
"17",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Camila Gonzalez","3","Lessonia trabeculata",14,0.3,1,0.8
"18",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4","Lessonia trabeculata",1,0.2,1,0.5
"19",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4","Lessonia trabeculata",2,0.2,1,0.4
"20",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4","Lessonia trabeculata",3,0.2,1,0.4
"21",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4","Lessonia trabeculata",4,0.2,1,0.4
"22",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4","Lessonia trabeculata",5,0.2,1,0.4
"23",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4","Lessonia trabeculata",6,0.2,1,1
"24",2020-10-04,"1",12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4","Lessonia trabeculata",7,0.2,1,0.4
