"","Date","Survey.Number","MAE","Zone","Site","Management","Upwelling","Latitude","Longitude","Surveyor.Name","Patch","Quad","Quad.area","Species","Stage","Density","Cover total points","Cover"
"1",2020-10-03,1,12,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Catalina Ruz","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"2",2020-10-03,1,12,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Catalina Ruz","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"3",2020-10-03,1,12,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Catalina Ruz","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"4",2020-10-03,1,12,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Catalina Ruz","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"5",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Catalina Ruz","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"6",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Catalina Ruz","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"7",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Camila Gonzalez","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"8",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Camila Gonzalez","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"9",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"10",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"11",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Camila Gonzalez","3",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
