"","Date","Survey.Number","MAE","Zone","Site","Management","Upwelling","Transect","Latitude","Longitude","Surveyor.Name","Station","Area","Depth","Dominant.Substrate.Type","Landscape.Characteristics","Species","Stage","Abundance","Density"
"1",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","1",20,"14","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",18,0.9
"2",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","2",20,"14","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",16,0.8
"3",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","3",20,"14","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",8,0.4
"4",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","4",20,"12.2","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",13,0.65
"5",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","5",20,"11","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",10,0.5
"6",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","6",20,"10.199999999999999","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",20,1
"7",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","7",20,"9.4","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",24,1.2
"8",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","8",20,"11.6","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",4,0.2
"9",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","9",20,"11","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",18,0.9
"10",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",1,"-27.337789999999998","-70.976579999999998","Hannah Earp","10",20,"11.2","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",13,0.65
"11",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","1",20,"10.7","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",26,1.3
"12",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","2",20,"11.7","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",98,4.9
"13",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","3",20,"10.1","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",31,1.55
"14",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","4",20,"11.2","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",29,1.45
"15",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","5",20,"11.4","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",48,2.4
"16",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","6",20,"11.2","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",28,1.4
"17",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","7",20,"10.7","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",42,2.1
"18",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","8",20,"11","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",31,1.55
"19",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","9",20,"11.1","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",34,1.7
"20",2019-11-10,1,0,"North","Puerto Viejo","OA","nonupwelling",2,"-27.335809999999999","-70.977119999999999","Hannah Earp","10",20,"11.3","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",71,3.55
"21",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","1",20,"11","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",20,1
