"","Site","Zone","Management","ID","Diam_Holdfast","TW_sum","LT","Structure","Weight_Str","porc_TW","FW","DW","High_Holdfast","Stipes","First_bif","Diam_stipes","LT_stipes","Dichot_stipes","ID_IRMS","peso_mg","mg_N2","ug_N2","X15N","mg_C","ug_C","X13C","porc_N","porc_C","C_N"
"1","Los Molles","Center","OA",1,2.2,96,38,"Holdfast",1,1.04166666666667,0.9286,0.2139,"1","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Los Molles","Center","OA",1,2.2,96,38,"Stipes",8,8.33333333333333,0.2235,0.0513,"NA","4","1.166666667","8","4.533333333","4.533333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Los Molles","Center","OA",1,2.2,96,38,"Blades",87,90.625,0.2368,0.0373,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Los Molles","Center","OA",2,5.9,130,50,"Holdfast",9,6.92307692307692,1.8546,0.3362,"2","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Los Molles","Center","OA",2,5.9,130,50,"Stipes",0,0,NA,NA,"NA","7","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Los Molles","Center","OA",2,5.9,130,50,"Blades",121,93.0769230769231,0.1749,0.0302,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Los Molles","Center","OA",3,13,2059,126,"Holdfast",184,8.93637688198154,0.8226,0.2303,"11","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Los Molles","Center","OA",3,13,2059,126,"Stipes",580,28.169014084507,0.4472,0.126,"NA","1","1.5","37.2","57.8","57.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Los Molles","Center","OA",3,13,2059,126,"Blades",1295,62.8946090335114,0.3291,0.052,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Los Molles","Center","OA",4,4.9,223,52,"Holdfast",11,4.93273542600897,1.7212,0.3572,"3.5","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Los Molles","Center","OA",4,4.9,223,52,"Stipes",0,0,0.331,0.1019,"NA","8","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Los Molles","Center","OA",4,4.9,223,52,"Blades",212,95.067264573991,0.2596,0.446,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Los Molles","Center","OA",5,7.6,333,72,"Holdfast",26,7.80780780780781,1.6597,0.4923,"3.4","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Los Molles","Center","OA",5,7.6,333,72,"Stipes",56,16.8168168168168,0.8451,0.2087,"NA","3","1.666666667","1.633333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Los Molles","Center","OA",5,7.6,333,72,"Blades",251,75.3753753753754,0.432,0.0891,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Los Molles","Center","OA",6,9.1,443,158,"Holdfast",144,32.5056433408578,0.4112,0.1218,"12","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Los Molles","Center","OA",6,9.1,443,158,"Stipes",200,45.1467268623025,0.728,0.2234,"NA","1","55.6","24.8","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Los Molles","Center","OA",6,9.1,443,158,"Blades",99,22.3476297968397,0.8466,0.1813,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Los Molles","Center","OA",7,18.5,1957,134,"Holdfast",307,15.687276443536,0.6163,0.2075,"12","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Los Molles","Center","OA",7,18.5,1957,134,"Stipes",675,34.4915687276444,1.6688,0.5129,"NA","1","35","38.5","1.46","1.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Los Molles","Center","OA",7,18.5,1957,134,"Blades",975,49.8211548288196,0.5784,0.107,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Los Molles","Center","OA",8,16,1935,144,"Holdfast",335,17.312661498708,1.1747,0.3125,"16","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Los Molles","Center","OA",8,16,1935,144,"Stipes",960,49.6124031007752,1.8896,0.5197,"NA","1","12","32.6","84","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Los Molles","Center","OA",8,16,1935,144,"Blades",640,33.0749354005168,1.2646,0.2226,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Los Molles","Center","OA",9,9.1,222,73,"Holdfast",71,31.981981981982,0.9068,0.2958,"7.6","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Los Molles","Center","OA",9,9.1,222,73,"Stipes",92,41.4414414414414,1.0692,0.3641,"NA","1","25","3.1","38","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Los Molles","Center","OA",9,9.1,222,73,"Blades",59,26.5765765765766,0.7341,0.1806,"NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Los Molles","Center","OA",10,17,521,135,"Holdfast",250,47.9846449136276,0.9641,0.246,"20","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Los Molles","Center","OA",10,17,521,135,"Stipes",150,28.7907869481766,1.5663,0.4831,"NA","1","10","36.6","82","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
