Year,Number_Region,Site,Management,Latitude,Longitude
2018,V,Quintay A,AMERB,-33.19194,-71.70034
2018,V,Quintay B,AMERB,-33.203867,-71.7039
2018,XVI,Cobquecura,AMERB,-36.155185,-72.823558
2018,V,Las Cruces,AMERB,-33.504033,-71.632167
2018,V,Ventanas,AMERB,-32.721713,-71.50679
2018,IV ,Los Vilos,AMERB,-31.9341,-71.517767
2018,III,Cha–aral de Aceituno,AMERB,-29.164195,-71.496917
2018,III,Carrizal Bajo,AMERB,-28.04086,-71.151888
2018,III,Reserva Cha–aral de Aceituno,Reserva,-29.04175,-71.5911
2018,II,Punta El Yeso,AMERB,-23.416667,-70.600138
2019,V,Ventanas,AMERB,-32.721713,-71.50679
2019,V,Quintay A,AMERB,-33.19194,-71.70034
2019,V,Quintay B,AMERB,-33.203867,-71.7039
2019,VIII,Cobquecura,AMERB,-36.155185,-72.823558
2020,III,Cha–aral de Aceituno,AMERB,-29.164195,-71.496917
2020,III,Cha–aral de Aceituno,OA,,
2020,III,Reserva Cha–aral de Aceituno,Reserve,-29.04175,-71.5911
2020,IV ,Los Vilos,AMERB,-31.9341,-71.517767
2020,V,Quintay B,AMERB,-33.203867,-71.7039
2020,XVI,Cobquecura,AMERB,-36.155185,-72.823558
2022,I,Pisagua,AMERB,-19.56843,-70.20759
2022,II,Punta Arenas ,AMERB,-21.67191,-70.15316
2022,II,Punta El Yeso,AMERB,-23.416667,-70.600138
2022,III,Carrizal Bajo,AMERB,-28.04086,-71.151888
2022,III,Cha–aral de Aceituno,AMERB,-29.164195,-71.496917
2022,III,Cha–aral de Aceituno,OA,,
2022,III,Reserva Cha–aral de Aceituno,Reserve,-29.04175,-71.5911
2022,IV ,Los Vilos,AMERB,-31.9341,-71.517767
